sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,motor1,motor2
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1
1.000000,1.000000,1.000000,0.914286,1.000000,1.000000,1,1
1.000000,1.000000,1.000000,0.771429,1.000000,1.000000,1,1
1.000000,1.000000,0.600000,0.600000,1.000000,1.000000,1,1
1.000000,1.000000,0.428571,0.400000,1.000000,1.000000,1,-1
1.000000,1.000000,0.514286,0.400000,1.000000,1.000000,1,-1
1.000000,1.000000,0.685714,0.542857,1.000000,1.000000,1,1
1.000000,1.000000,0.628571,0.457143,1.000000,1.000000,1,1
1.000000,1.000000,0.542857,0.285714,0.971429,1.000000,1,-1
1.000000,1.000000,0.885714,0.571429,0.514286,0.971429,1,-1
1.000000,1.000000,0.771429,1.000000,0.542857,0.600000,1,1
1.000000,1.000000,1.000000,0.828571,0.457143,0.542857,1,1
1.000000,1.000000,0.971429,1.000000,0.400000,0.457143,1,1
1.000000,1.000000,1.000000,1.000000,0.314286,0.371429,1,1
1.000000,1.000000,1.000000,0.771429,0.257143,0.314286,1,1
1.000000,1.000000,1.000000,1.000000,0.171429,0.257143,1,-1
1.000000,1.000000,1.000000,1.000000,0.400000,0.228571,1,1
1.000000,1.000000,1.000000,1.000000,0.514286,0.314286,1,1
1.000000,1.000000,0.942857,0.742857,0.600000,0.400000,-1,1
1.000000,1.000000,1.000000,1.000000,0.371429,0.428571,1,1
1.000000,1.000000,0.685714,1.000000,0.314286,0.371429,1,1
1.000000,1.000000,0.857143,0.628571,0.200000,0.428571,1,-1
1.000000,1.000000,1.000000,1.000000,0.285714,0.257143,1,1
1.000000,1.000000,1.000000,0.828571,0.285714,0.257143,1,1
1.000000,1.000000,1.000000,1.000000,0.542857,0.285714,-1,1
1.000000,1.000000,0.885714,0.885714,0.285714,0.285714,1,1
1.000000,1.000000,0.657143,1.000000,0.285714,0.285714,1,1
1.000000,1.000000,1.000000,0.742857,0.200000,0.200000,1,-1
1.000000,1.000000,1.000000,0.971429,0.171429,0.228571,1,-1
1.000000,1.000000,0.885714,0.800000,0.285714,0.257143,1,1
1.000000,1.000000,0.800000,0.800000,0.285714,0.257143,1,1
1.000000,1.000000,0.885714,0.971429,0.285714,0.257143,1,1
1.000000,1.000000,0.914286,1.000000,0.285714,0.257143,1,1
