x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
11,2,19.2901,-19.2783,1.6337,1.49935,2.37662,3.88356,32.7829,32.7845
11,3,37.3932,-37.2927,3.13697,2.88349,4.56936,7.47214,63.5714,63.5687
11,4,65.838,-65.3248,5.46049,4.99981,7.92161,12.9634,111.92,111.916
11,5,104.928,-103.757,8.53109,7.76823,12.3098,20.1708,178.375,178.375
11,6,139.497,-138.542,10.9603,9.91216,15.6784,25.738,237.144,237.144
11,7,149.772,-149.678,11.2444,10.1635,15.8885,25.9894,254.612,254.612
11,8,150,-150,11,10,15,24,255,255
11,9,150,-149.994,13.7796,11.4722,17.8603,29.2204,255,255
11,10,150,-150,18,13,20,33,255,255
11,11,150,-150,14,14,24,38,255,255
11,12,149.983,-149.723,13.5433,13.8513,22.6368,36.2489,254.972,255
11,13,149.324,-141.182,13.4191,14.2632,21.8823,36.8495,253.733,254.977
11,14,145.462,-99.9729,13.6026,18.1956,21.7215,46.004,245.928,254.747
11,15,136.584,-20.5307,14.1392,28.2978,22.5939,70.188,226.625,254.31
11,16,125.389,65.1352,14.8834,42.1086,24.2182,106.575,199.399,254.216
11,17,117.941,121.737,15.5282,52.726,25.7252,142.301,174.814,254.457
11,18,117.874,143.956,15.968,56.3807,26.6868,162.911,156.734,254.777
11,19,122.892,149.072,16.5119,58.7952,27.7202,160.142,123.66,254.921
11,20,135.209,149.92,17.529,60.7082,29.5341,141.931,58.7653,254.977
11,21,147.27,149.998,18.5764,61.0799,30.6202,170.144,28.034,254.997
11,22,150,150,17,19.0008,27.0001,255,51.9998,255
11,23,148.258,150,20.3903,89.566,32.0877,236.835,35.5581,254.958
11,24,142.681,149.845,20.7669,106.765,32.8715,216.596,36.2474,253.535
11,25,134.498,146.696,19.6827,102.821,31.3897,192.271,44.0568,242.517
11,26,120.159,133.736,17.1392,87.2197,27.4859,156.798,49.177,210.077
11,27,98.9199,111.04,13.5231,65.8229,21.7842,115.826,45.6524,161.287
11,28,74.9987,84.0849,9.79976,45.6647,15.8614,79.2097,34.7331,111.147
11,29,53.2343,59.6952,6.6843,29.9873,10.8666,51.5736,22.412,70.545
12,0,2.70081,-2.6905,0.234094,0.207743,0.330289,0.534204,4.59155,4.59617
12,1,8.40259,-8.39363,0.713593,0.664042,1.04192,1.70139,14.2824,14.2856
12,2,18.6779,-18.6614,1.58455,1.46351,2.30838,3.77568,31.7392,31.7392
12,3,36.0514,-35.8831,3.04468,2.8001,4.43346,7.24339,61.281,61.2804
12,4,62.7993,-61.9974,5.24916,4.81601,7.62089,12.4512,106.755,106.755
12,5,99.3374,-97.3975,8.18663,7.46233,11.797,19.2888,168.873,168.874
12,6,133.836,-131.661,10.7817,9.74653,15.3397,25.0696,227.521,227.521
12,7,148.491,-147.616,11.6069,10.4229,16.2106,26.401,252.434,252.431
12,8,149.961,-149.802,11.7797,10.4847,16.1377,26.1581,254.935,254.934
12,9,149.999,-149.844,13.8755,11.7002,18.2545,29.7399,254.998,254.998
12,10,149.999,-149.884,15.7623,13.0354,20.6878,33.6439,254.999,255
12,11,149.996,-149.744,14.664,13.6048,22.3454,35.8606,254.994,255
12,12,149.927,-147.118,14.0404,13.7404,22.313,36.0637,254.85,254.995
12,13,149.232,-127.494,13.7998,14.8156,21.8398,38.2269,253.278,254.942
12,14,146.659,-71.3325,13.9997,19.8829,22.018,49.6828,246.937,254.709
12,15,142.008,12.1507,14.5982,31.0799,23.1995,76.438,234.011,254.352
12,16,137.671,88.8204,15.3018,46.0915,24.9384,118.378,218.622,254.247
12,17,137.823,133.654,15.7719,56.2929,26.314,166.787,211.6,254.478
12,18,143.331,148.042,15.9416,51.9206,26.7291,206.518,221.029,254.852
12,19,146.948,149.835,16.096,49.4731,26.9155,219.382,223.93,254.966
12,20,146.28,149.945,17.6339,95.7564,29.5959,192.816,155.581,254.959
12,21,148.71,149.996,23.1019,161.762,36.3747,223.494,45.184,254.984
12,22,150,150,29,254.999,43.9999,255,3.00016,255
