x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
0,0,2.14848,2.14345,0.161424,0.15209,0.270031,0.432336,0.235413,0.230865
0,1,4.81449,4.8142,0.357138,0.324715,0.597624,0.962285,0.532146,0.520996
0,2,8.94275,8.95168,0.660584,0.600403,1.10625,1.78944,0.986155,0.961867
0,3,15.5109,15.5064,1.13956,1.03459,1.9181,3.10254,1.70746,1.6613
0,4,26.2046,26.2075,1.92976,1.75508,3.23874,5.31089,3.11634,3.04668
0,5,45.4579,45.456,3.38425,3.11085,5.62759,9.20133,10.5201,5.45947
0,6,72.3473,72.3465,5.42992,5.00226,8.98941,14.6648,21.1864,8.95911
0,7,100.997,100.998,7.57808,6.97344,12.5431,20.4138,28.6733,12.3476
0,8,125.38,125.38,9.38389,8.63293,15.5366,25.2412,34.3385,14.8535
0,9,139.399,139.399,10.4339,9.61145,17.2326,27.9731,40.2341,16.0565
0,10,144.534,144.534,10.9018,10.1108,17.8472,28.9719,54.8336,16.579
0,11,145.84,145.84,11.2633,10.6422,18.0064,29.27,94.274,17.1373
0,12,147.21,147.21,11.8025,11.5005,18.0481,29.4123,165.733,17.7052
0,13,149.286,149.286,12.2455,12.2525,17.7807,29.038,231.369,17.8258
0,14,149.975,149.975,12.3823,12.6236,17.0501,27.847,253.306,18.7541
0,15,150,150,12.746,13.4391,16.3389,26.6096,254.985,20.897
0,16,149.996,149.996,12.7725,12.9989,17.6944,28.9134,254.797,19.0861
0,17,149.836,149.836,13.3116,13.3288,19.3059,31.5822,254.048,19.9109
0,18,147.682,147.682,13.4338,13.3377,19.95,32.6345,249.481,24.689
0,19,138.168,138.169,12.6885,12.5291,19.093,31.2309,232.164,32.2462
0,20,118.671,118.671,10.9089,10.7207,16.52,27.0381,198.355,38.2622
0,21,93.2873,93.2892,8.54877,8.36383,12.9717,21.2608,156.479,39.6461
0,22,68.8631,68.865,6.27016,6.10896,9.51686,15.6225,115.765,36.4546
0,23,48.7049,48.7045,4.40654,4.26732,6.67843,10.985,82.2015,30.6574
0,24,33.4941,33.4956,3.01153,2.90589,4.56245,7.50976,56.7496,24.0851
0,25,22.4327,22.4369,2.00344,1.92743,3.03534,4.9546,38.1343,17.7386
