x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
2,14,149.978,149.997,12.6073,12.6761,19.0708,31.1401,243.249,16.8513
2,15,149.997,150,12.6054,12.6692,19.4362,31.7451,252.723,14.8271
2,16,149.998,150,14.5397,14.5708,21.7742,35.6157,254.003,20.6847
2,17,149.992,149.997,14.6028,14.579,22.065,36.0545,253.999,27.6826
2,18,149.825,149.835,14.6838,14.6556,22.3818,36.5376,253.534,38.5054
2,19,147.89,147.862,14.3648,14.4189,21.9716,35.8766,249.756,55.1736
2,20,140.082,139.781,13.3008,13.5308,20.3458,33.3003,235.807,74.5338
2,21,124.027,123.265,11.4949,11.9216,17.5562,28.8608,209.204,86.8932
2,22,102.634,101.404,9.31602,9.8629,14.2099,23.4815,173.179,86.7892
2,23,79.9924,78.392,7.14907,7.7228,10.8906,18.0862,135.167,76.7114
2,24,59.1264,57.4242,5.22795,5.76042,7.95807,13.2814,100.11,61.7046
2,25,41.3293,39.7159,3.62649,4.03957,5.51802,9.0611,70.1904,45.4258
2,26,24.8808,23.4488,2.17262,2.03377,3.30059,5.39089,42.3012,30.6924
2,27,11.7714,10.5656,1.00729,0.928748,1.51288,2.46273,20.0024,18.5451
2,28,5.88781,5.03879,0.478086,0.445653,0.722665,1.19122,10.0128,10.0092
2,29,2.82693,2.37768,0.214942,0.208009,0.335568,0.546533,4.8028,4.80329
3,0,1.89789,3.21932,0.236629,0.214334,0.393947,0.626744,0.361466,1.39882
3,1,4.99988,6.85985,0.506714,0.45822,0.832188,1.34648,0.764551,2.21848
3,2,9.99467,12.7254,0.934951,0.853433,1.54692,2.50518,1.41822,3.53972
3,3,18.4499,22.0157,1.62551,1.58554,2.70153,4.45445,2.43163,5.37716
3,4,33.3518,37.7064,2.80712,2.76157,4.67465,8.43323,5.52011,9.36151
3,5,59.5929,64.2732,4.82867,5.35512,8.00529,14.0444,16.1743,14.332
3,6,93.8657,98.0294,7.38596,7.66693,12.2486,20.8334,28.0935,18.6454
3,7,125.58,128.323,9.60389,9.42419,15.9795,26.555,31.5313,19.8979
3,8,144.567,145.705,10.8107,10.1469,18.0654,29.5418,28.0925,18.2764
3,9,149.505,149.789,11.0426,10.1384,18.5147,30.0791,22.9935,16.6126
3,10,149.948,149.999,11.0283,10.0601,18.4932,29.993,20.0029,16.1364
3,11,149.788,149.978,11.2081,10.4146,18.6202,30.2737,41.2161,17.0431
3,12,149.576,149.905,11.7883,11.4558,18.9738,30.9967,106.986,19.7632
3,13,149.725,149.949,12.5317,12.585,19.4943,31.9109,190.526,21.3751
3,14,149.92,149.996,12.9932,13.1115,20.0096,32.7199,236.346,20.7995
3,15,149.976,150,13.5596,13.6398,20.9002,34.1487,249.868,22.4638
3,16,149.987,150,14.7368,14.7831,22.6442,36.9705,253.047,30.7403
3,17,149.988,149.999,15.6179,15.6428,24.1963,39.4451,253.917,43.4369
3,18,149.939,149.954,15.6212,15.6508,24.2463,39.5396,253.916,55.7334
3,19,149.2,149.156,14.9998,15.0859,23.1772,37.9067,252.4,77.6244
3,20,145.361,144.874,13.9321,14.1486,21.4148,35.2332,245.412,105.973
3,21,135.553,134.158,12.471,12.8647,19.0835,31.6621,229.206,125.455
3,22,119.553,117.003,10.6891,11.2319,16.3084,27.3042,202.065,127.676
3,23,99.0227,95.3903,8.70256,9.32371,13.2491,22.3789,167.41,114.977
3,24,76.6952,72.4602,6.67891,7.25334,10.1502,17.257,129.851,93.586
3,25,55.1721,50.852,4.77882,5.25019,7.25115,11.9636,93.6565,69.1235
3,26,34.6504,30.6233,2.99405,2.78154,4.53018,7.40495,58.9081,46.8994
3,27,17.8337,14.3706,1.50794,1.39348,2.26082,3.69988,30.3152,28.6945
3,28,9.29977,6.6727,0.765021,0.699378,1.15094,1.87442,15.8187,15.8178
3,29,4.56668,2.96907,0.355772,0.339535,0.548492,0.889216,7.75098,7.74963
4,0,1.67103,3.54408,0.268227,0.251189,0.439628,0.70675,0.382711,2.16729
4,1,4.62651,7.34167,0.549562,0.510493,0.910482,1.46944,0.788531,3.48075
4,2,9.51011,13.5639,1.02642,0.946138,1.68445,3.02318,1.51107,5.81145
4,3,17.6734,23.1211,1.77164,2.07983,2.92275,5.54732,2.54742,8.94357
4,4,31.9301,38.7965,2.97644,3.42889,4.93786,10.1044,6.10063,14.5275
4,5,56.8699,64.5889,4.96494,6.3838,8.21201,15.9248,17.526,20.97
4,6,89.2765,96.6426,7.41751,8.69086,12.2662,22.512,30.5128,25.9255
