x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
0,0,2.14848,2.14345,0.161424,0.15209,0.270031,0.432336,0.235413,0.230865
0,1,4.81449,4.8142,0.357138,0.324715,0.597624,0.962285,0.532147,0.520996
0,2,8.94276,8.95169,0.660584,0.600403,1.10625,1.78944,0.986156,0.961867
0,3,15.5109,15.5064,1.13957,1.03459,1.91811,3.10255,1.70747,1.6613
0,4,26.205,26.2079,1.92979,1.75511,3.23878,5.31097,3.11638,3.04672
0,5,45.46,45.458,3.3844,3.11098,5.62785,9.20175,10.5202,5.45968
0,6,72.3559,72.3552,5.43054,5.00281,8.9905,14.6666,21.186,8.95989
0,7,101.021,101.022,7.57979,6.97495,12.5462,20.4189,28.6677,12.3494
0,8,125.417,125.418,9.38638,8.63503,15.5415,25.2492,34.3123,14.8553
0,9,139.428,139.428,10.4355,9.61255,17.2364,27.9792,40.1697,16.0564
0,10,144.55,144.55,10.9022,10.1106,17.8487,28.9742,54.7346,16.5775
0,11,145.848,145.848,11.2632,10.6419,18.0064,29.2698,94.215,17.1358
0,12,147.221,147.221,11.8035,11.503,18.0438,29.4054,165.972,17.7064
0,13,149.31,149.31,12.2467,12.2634,17.743,28.9762,232.125,17.868
0,14,149.982,149.982,12.4231,12.7455,16.8481,27.5039,253.805,19.2295
0,15,150,150,12.9996,13.9991,16.0003,26.0005,255,21.9988
0,16,149.997,149.997,12.7526,13.0612,17.3977,28.4135,254.859,19.475
0,17,149.843,149.843,13.3142,13.3405,19.2745,31.53,254.089,19.8916
0,18,147.696,147.696,13.4388,13.3441,19.9527,32.6389,249.515,24.6626
0,19,138.179,138.179,12.6907,12.5315,19.0957,31.2354,232.185,32.2405
0,20,118.676,118.676,10.9097,10.7215,16.5212,27.04,198.364,38.2621
0,21,93.2889,93.2909,8.54901,8.36408,12.9721,21.2614,156.482,39.6464
0,22,68.8636,68.8654,6.27022,6.10902,9.51695,15.6227,115.766,36.4548
0,23,48.705,48.7046,4.40655,4.26733,6.67845,10.9851,82.2017,30.6575
0,24,33.4942,33.4956,3.01153,2.90589,4.56246,7.50977,56.7496,24.0851
0,25,22.4327,22.4369,2.00344,1.92743,3.03534,4.9546,38.1343,17.7386
0,26,12.5658,12.5661,1.11881,1.06146,1.69492,2.77801,21.3598,12.1551
0,27,4.92446,4.92291,0.429802,0.404901,0.645105,1.0546,8.35885,7.30131
0,28,2.37476,2.37988,0.199087,0.176448,0.295148,0.479589,4.0341,4.03967
0,29,1.14088,1.14296,0.0894353,0.090244,0.132924,0.225896,1.94044,1.94431
1,0,2.4121,2.41348,0.180561,0.165398,0.301788,0.484451,0.269066,0.259718
1,1,5.49165,5.48905,0.403317,0.367247,0.67599,1.09612,0.601507,0.587518
1,2,10.3198,10.4226,0.766915,0.697009,1.29111,2.08236,1.14258,1.19461
1,3,18.2059,18.336,1.35294,1.22861,2.25894,3.66217,2.01434,2.06719
1,4,31.51,31.6694,2.32611,2.11947,3.90779,6.47855,4.03383,4.06059
1,5,55.2212,55.3918,4.11934,3.8411,6.85927,11.274,12.6567,7.26278
1,6,87.6657,87.8093,6.56941,6.09517,10.9105,17.8411,23.6708,11.4554
1,7,119.979,120.062,8.95357,8.24761,14.8974,24.2589,28.6833,14.776
1,8,141.63,141.652,10.503,9.62206,17.5321,28.4737,28.2608,16.1548
1,9,148.724,148.728,10.9861,10.041,18.3533,29.772,26.4771,16.2196
1,10,149.714,149.715,11.0846,10.1549,18.4166,29.858,31.7388,16.1877
1,11,149.616,149.617,11.2839,10.4943,18.4133,29.8848,63.6372,16.477
1,12,149.541,149.542,11.7831,11.3541,18.4022,29.9653,147.489,16.9097
1,13,149.916,149.916,12.102,11.9741,18.1403,29.6411,231.228,16.1465
1,14,150,150,11.7918,11.5292,17.6637,28.9341,254.12,15.5119
1,15,150,150,11.0007,10.0015,17.0006,28.0008,255,16.9983
1,16,150,150,13.4398,13.2427,20.0064,32.7906,254.967,17.0797
1,17,149.997,149.997,14.3737,14.3188,21.3405,34.9398,254.769,19.7964
1,18,149.662,149.661,14.3882,14.3029,21.6181,35.3428,253.638,27.4965
1,19,145.868,145.857,13.9745,13.8287,21.2071,34.654,246.233,39.8454
1,20,133.105,133.055,12.5783,12.3926,19.1575,31.342,223.633,52.5456
1,21,111.278,111.166,10.3429,10.1582,15.753,25.8338,187.364,59.3612
1,22,86.5726,86.4087,7.91608,7.7585,12.0489,19.8154,145.939,57.7165
1,23,63.9111,63.6706,5.76685,5.64598,8.75713,14.4544,108.022,50.0347
